,Link,Posting Date,vacant_form,vacant_till
154,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Bogenhausen.2421302.html,18.10.2022,01.03.2023,"30.06.2023

"
155,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Moosach.9623295.html,18.10.2022,20.10.2022,"31.10.2023

"
156,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Neuhausen-Nymphenburg.9686466.html,18.10.2022,01.11.2022,"

"
157,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Obermenzing.9686359.html,18.10.2022,01.11.2022,"

"
158,https://www.wg-gesucht.de/wohnungen-in-Munchen-Schwabing-West.9685643.html,18.10.2022,30.10.2022,"19.11.2022

"
159,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Neuhausen-Nymphenburg.9157719.html,18.10.2022,01.12.2022,"31.01.2023

"
160,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Ludwigsvorstadt-Isarvorstadt.9669868.html,18.10.2022,01.11.2022,"

"
161,https://www.wg-gesucht.de/wohnungen-in-Munchen-Neuhausen-Nymphenburg.9412351.html,18.10.2022,26.10.2022,"15.01.2023

"
162,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Neuhausen-Nymphenburg.8635842.html,18.10.2022,01.01.2023,"30.06.2023

"
163,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwanthalerhoehe.9686479.html,18.10.2022,01.12.2022,"

"
164,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Feldmoching.1353392.html,18.10.2022,01.12.2022,"

"
165,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Neuhausen-Nymphenburg.9686429.html,18.10.2022,01.11.2022,"30.04.2023

"
166,https://www.wg-gesucht.de/wohnungen-in-Munchen-Aubing.9686395.html,18.10.2022,01.11.2022,"

"
167,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Untergiesing-Harlaching.4339748.html,18.10.2022,18.10.2022,"15.12.2022

"
168,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Munchen.9680230.html,18.10.2022,01.12.2022,"

"
169,https://housinganywhere.com/de/s/M%C3%BCnchen--Deutschland/wg-zimmer?utm_source=wg-gesucht&utm_medium=affiliate&affiliate_partner_id=32473&utm_campaign=top-placement&utm_content=munich&utm_term=website,19.10.2022,20.10.2022,"

"
170,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Neuhausen-Nymphenburg.8662635.html,18.10.2022,01.03.2023,"01.09.2025

"
171,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Neuhausen-Nymphenburg.8512967.html,18.10.2022,01.03.2023,"30.09.2025

"
172,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Au-Haidhausen.9683677.html,18.10.2022,20.10.2022,"31.10.2023

"
173,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Lochhausen.9663057.html,18.10.2022,15.11.2022,"

"
174,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Moosach.9570391.html,18.10.2022,01.11.2022,"

"
175,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Ludwigsvorstadt-Isarvorstadt.9683480.html,18.10.2022,03.11.2022,"31.08.2025

"
176,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Sendling-Westpark.9291787.html,18.10.2022,15.11.2022,"15.01.2023

"
177,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Maxvorstadt.6887737.html,18.10.2022,11.11.2022,"30.04.2023

"
